SubjectID,SubjectName,FieldID
1,1_grade,1
2,2_grade,1
3,3_grade,1
4,4_grade,1
5,5_grade,1
6,6_grade,1
7,7_grade,1
8,8_grade,1
9,pre_3,1
10,pre_4,1
11,pre_5,1
12,pre_6,1
13,pre_algebra1,1
14,pre_geometry,1
15,pre_algebra2,1
16,pre_precalculus,1
17,Algebra1,1
18,geometry,1
19,trigonometry,1
20,precalculus,1
21,statistics,1
22,AP_Cal_ab,1
23,ap_cal_bc,1
24,ap_stat,1
25,multivar_cal,1
26,differential_equa,1
27,linear_algebra,1
28,SAT,2
29,LSAT,2
30,praxis_core,2
31,hs_bio,3
32,ap_bio,3
33,ap_chem,3
34,hs_physics,3
35,ap_phycis1,3
36,computer_science,4
37,ap_Cs,4
38,us_history,5
39,ap_ushistory,5
40,us_government,5
41,ap_government,5
42,hs_civics,5
43,art_his,5
44,ap_arthis,5
45,macroeconomics,6
46,ap_macro,6
47,micro,6
48,ap_micro,6
49,9_grade,7
50,career,8
51,personal_finance,8
